PathInteraction,GoalEgo,WindIntensity,RoadFriction,FogDistance,StartOther,PrecipitationDeposits,Cloudiness,FogDensity,GoalOther,Precipitation,Wetness,TimeOfDay,StartEgo,Min_TTC,Collision_Occurred
c4,base,40,0.2,60,left,100,40,80,base,40,80,-90,right,2.4624835948743504,False
c4,right,40,0.4,80,right,20,100,0,base,20,60,30,left,4.033681905763594,False
c2,left,80,0.6,20,base_left_lane,60,0,20,left,20,0,60,right,4.5505350531905036,False
c1,right,0,0.8,80,base,60,0,0,right,80,20,-90,left,3.3651810983636,False
c1,right,40,0.1,20,base_left_lane,40,80,0,left,80,100,30,left,1.0310156624830804,False
c2,left,60,0.6,100,right,80,60,60,base,60,80,-90,base,1.7285757374959458,False
c4,base,20,1.0,80,right,0,80,20,base,40,100,0,left,1.9009141973146524,False
c4,base,80,0.6,20,right,40,100,80,base,80,0,0,left,2.0419610809040902,False
c4,base,20,0.1,100,left,100,100,100,base,0,80,-30,right,2.619406859507791,False
c1,right,0,0.6,40,base_left_lane,60,0,40,left,80,20,-60,left,0.9684347534512351,False
c4,right,0,1.0,0,right,100,60,100,base,20,80,0,left,7.034459340551336,False
c2,left,0,0.1,60,right,80,60,100,left,100,40,-30,base,3.0910481619982315,False
c2,left,40,0.2,0,right,100,100,40,base,0,100,60,base,1.6353353359044862,False
c4,base,40,0.1,60,right,0,60,100,base,20,80,0,left,3.553135022744591,False
c1,left,20,0.4,80,left,100,20,80,right,60,100,30,base,2.4024303026049565,False
c4,base,100,0.8,60,right,80,80,40,base,20,80,90,left,3.0183917831027838,False
c1,right,60,0.2,0,left,40,0,20,right,100,40,-60,base,2.0024500757985213,False
c1,right,100,0.6,80,left,60,0,80,right,0,0,-90,base,2.1271514236778417,False
c2,left,20,0.2,100,right,80,0,80,left,20,20,-30,base,3.548558086772965,False
c2,left,0,0.6,100,base_left_lane,0,80,0,left,60,80,-60,right,4.396068166927945,False
c2,base,20,0.1,100,base_left_lane,0,100,80,left,40,100,0,right,3.8351211661637508,False
c1,right,60,0.2,40,base_left_lane,20,100,100,left,0,0,30,left,1.0068877591099796,False
c2,left,0,0.8,20,right,60,20,100,base,100,0,-90,base,0.0,True
c1,right,80,0.1,0,base,20,20,20,right,80,80,-60,left,3.4637695124862993,False
c4,base,60,1.0,40,right,20,80,60,base,80,0,90,left,2.52442341591748,False
c4,base,0,0.4,80,left,40,100,60,base,60,100,-90,right,2.602254051406187,False
c1,right,20,0.6,0,base,0,0,20,right,40,80,-30,left,3.1983943784308826,False
c4,right,100,0.8,80,right,0,60,0,base,0,100,0,left,4.03273411460409,False
c2,left,100,0.8,20,right,0,100,80,left,60,20,-60,base,3.3033105696876333,False
c4,right,100,0.8,20,right,80,0,40,base,40,20,-60,left,4.124680201327622,False
c4,base,80,0.2,40,left,20,80,40,right,20,20,-90,right,1.0209679331313677,False
c4,base,0,0.8,40,left,100,80,60,right,20,20,30,right,0.0,True
c1,left,80,1.0,0,left,40,80,20,right,40,0,60,base,2.670675829869617,False
c4,base,80,1.0,0,right,60,20,20,base,80,80,60,left,1.6584170995166083,False
c1,right,0,0.1,20,left,40,20,100,right,20,80,0,base,2.8576982248143867,False
c4,base,100,0.2,60,left,0,20,100,base,100,20,30,right,2.8868869351871966,False
c1,right,80,0.6,60,base,0,20,0,right,80,60,30,left,3.208867494684112,False
c4,base,20,0.1,60,left,20,20,80,right,40,20,-90,right,0.7278236697038286,False
c2,base,60,0.8,40,base_left_lane,40,20,40,left,20,60,-90,right,3.1467866001085127,False
c2,left,20,0.6,60,right,100,100,20,base,100,80,0,base,1.2743142106177148,False
c4,right,0,0.1,100,right,20,0,40,base,0,20,0,left,4.340497442421569,False
c4,base,20,0.1,0,left,40,0,0,base,80,100,90,right,2.1169933729111845,False
c2,left,40,0.1,60,right,0,80,60,left,60,100,-30,base,2.8948987642003736,False
c2,base,80,0.2,100,base_left_lane,80,20,40,left,60,60,30,right,3.4553303317373323,False
c2,left,0,0.2,60,base_left_lane,100,60,100,left,80,20,-30,right,4.637845688524902,False
c4,base,20,0.1,80,right,60,60,40,base,0,80,90,left,2.805177331965694,False
c4,base,80,0.1,100,left,80,80,20,base,20,0,-60,right,4139.726757226096,False
c1,right,80,0.6,20,left,20,40,0,right,20,100,-30,base,4.279501599235091,False
c1,left,20,0.8,0,left,0,0,20,right,20,60,90,base,2.1532193230481123,False
