instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,feature_direction,visibility,roadsurface,vehiclestability,probability,collision,min_ttc,run_duration,algo_safety
scenario178,-30,40,80,20,40,60,0.8,0,100,0,80,100,60,1e-05,0,1.0005558638709775,21.87028551101685,0
scenario179,90,40,40,0,100,100,0.1,80,20,1,80,100,80,1e-05,0,0.8873645992418221,25.908799648284912,0
scenario180,90,60,80,40,0,0,0.8,100,0,0,80,100,100,1e-05,0,1.1006377776828915,21.989563941955566,0
scenario181,0,0,80,0,100,40,0.6,0,100,1,100,0,0,1e-05,0,1.0420200575304723,27.286290884017944,0
scenario182,30,60,80,60,0,0,0.8,0,100,1,100,0,20,1e-05,0,0.7693745440849753,26.502026557922363,0
scenario183,30,80,100,40,0,80,0.4,40,60,1,100,0,40,1e-05,0,0.7581230490423391,26.356591939926147,0
scenario184,0,60,20,40,20,40,0.8,100,0,1,100,0,60,1e-05,0,0.96846043838356,27.000076055526733,0
scenario185,60,60,20,0,0,0,0.4,80,20,0,100,0,80,1e-05,0,1.0950630129046897,22.019932746887207,0
scenario186,30,60,40,40,0,100,0.4,100,0,0,100,0,100,1e-05,0,1.1849990473968062,22.161351919174194,0
scenario187,-30,20,20,20,100,0,0.6,40,60,1,100,20,0,1e-05,0,0.853711463539574,27.55999255180359,0
scenario188,60,60,100,60,100,60,0.6,100,0,1,100,20,20,1e-05,0,0.766615780663949,26.27662706375122,0
scenario189,-60,40,40,100,100,40,0.6,80,20,0,100,20,40,1e-05,0,1.03079494358553,22.362022399902344,0
scenario190,-60,40,40,100,0,100,0.6,20,80,0,100,20,60,1e-05,0,2.987281458105042,67.5487608909607,0
scenario191,-60,60,20,0,100,60,0.6,0,100,0,100,20,80,1e-05,0,1.055079804749962,22.590294122695923,0
scenario192,60,20,20,0,100,40,0.4,0,100,0,100,20,100,1e-05,0,1.1009346220047038,21.75764513015747,0
scenario193,90,20,40,0,60,0,0.6,0,100,1,100,40,0,1e-05,0,0.7712867340364497,26.11388659477234,0
scenario194,90,20,40,40,0,0,0.8,0,100,1,100,40,20,1e-05,0,0.8895592091311241,26.170318841934204,0
scenario195,-60,0,100,0,20,40,0.8,80,20,0,100,40,40,1e-05,0,1.0346586523853658,22.18972611427307,0
scenario196,30,40,20,60,100,40,0.6,100,0,0,100,40,60,1e-05,0,1.2089331370604317,22.149795055389404,0
scenario197,90,40,80,20,40,40,0.6,40,60,0,100,40,80,1e-05,0,1.2098355686168485,21.914681434631348,0
scenario198,90,40,60,20,40,0,0.6,40,60,1,100,40,100,1e-05,0,0.7653042417346734,26.29851484298706,0
scenario199,30,40,60,60,100,40,0.6,0,100,0,100,60,0,1e-05,0,1.0990742226556314,22.0234763622284,0
scenario200,30,60,20,0,100,60,0.6,0,100,1,100,60,20,1e-05,0,0.8015782226235072,26.746549367904663,0
scenario201,-90,20,40,20,80,40,0.6,100,100,0,100,60,40,1e-05,0,1.2214687903956716,23.81342101097107,0
scenario202,30,20,100,0,0,100,0.1,80,20,1,100,60,60,1e-05,0,0.8380184305076235,26.4221088886261,0
scenario203,-90,60,40,0,0,80,0.8,80,20,1,100,60,80,1e-05,0,0.8479068671376939,26.773493766784668,0
scenario204,30,60,80,0,0,40,0.8,0,100,1,100,60,100,1e-05,0,0.7858456566340742,26.407377004623413,0
scenario205,-90,40,100,0,100,0,0.6,100,0,0,100,80,0,1e-05,0,1.0277580002357682,22.56385564804077,0
scenario206,60,60,60,100,0,0,0.8,40,60,0,100,80,20,1e-05,0,1.173673285268517,22.04652166366577,0
scenario207,-60,0,20,0,60,40,0.6,0,100,0,100,80,40,1e-05,0,1.1461058066639973,23.92569661140442,0
scenario208,-60,40,100,80,0,80,0.4,40,60,0,100,80,60,1e-05,0,1.0827545158237175,22.57402610778809,0
scenario209,0,20,100,0,0,80,0.1,0,100,1,100,80,80,1e-05,0,0.7936028406713134,27.29358720779419,0
scenario210,0,20,20,0,60,0,0.6,0,100,0,100,80,100,1e-05,0,1.126966793899174,22.72257423400879,0
scenario211,-30,0,60,0,60,40,0.6,80,20,1,100,100,0,1e-05,0,0.795754509186471,26.83937191963196,0
scenario212,0,80,20,0,0,0,0.0,0,100,1,100,100,20,1e-05,0,0.9030652481042226,27.181087493896484,0
scenario213,-30,40,20,60,0,80,0.4,100,0,0,100,100,40,1e-05,0,1.0795927195028026,22.32710027694702,0
scenario214,-90,80,100,0,0,0,0.8,80,20,0,100,100,60,1e-05,0,0.999284977351678,22.26501750946045,0
scenario215,30,40,40,80,40,40,0.8,40,60,1,100,100,80,1e-05,0,0.8903648798386437,26.24598479270935,0
scenario216,-60,60,20,20,100,0,0.6,100,0,1,100,100,100,1e-05,0,0.7623277145024305,26.819968700408936,0
