Instances,PathInteraction,feature_GoalEgo,feature_WindIntensity,feature_RoadFriction,feature_FogDistance,feature_StartOther,feature_PrecipitationDeposits,feature_Cloudiness,feature_FogDensity,feature_GoalOther,feature_Precipitation,feature_Wetness,feature_TimeOfDay,feature_StartEgo,collision,min_ttc,algo_safety
scenario246,c1,right,0,0.6,20,left,100,60,0,right,40,40,30,base,0,2.590735028344051,0
scenario247,c2,left,0,0.4,40,right,100,80,80,base,80,0,0,base,0,4.289412661403138,0
scenario248,c2,left,40,0.2,60,base_left_lane,20,20,0,left,100,80,90,right,0,3.086063284571451,0
scenario249,c4,base,20,0.2,80,left,100,40,60,right,60,20,-30,right,0,1.336610340660571,0
scenario250,c2,left,0,0.1,60,base_left_lane,60,100,60,left,40,0,-30,right,0,4.833082737480805,0
scenario251,c2,base,60,0.4,60,base_left_lane,20,100,80,left,40,40,0,right,1,1.8558511267565287,1
scenario252,c1,right,40,0.8,20,left,0,20,20,right,0,40,90,base,0,1.751088892127992,0
scenario253,c4,right,0,0.6,60,right,20,0,60,base,40,80,-30,left,0,1.8390156460130411,0
scenario254,c4,base,20,1.0,20,right,40,20,100,base,0,0,30,left,0,2.4864653609288863,0
scenario255,c1,right,40,1.0,0,base_left_lane,0,60,20,left,40,100,-30,left,0,0.7635756808727596,0
scenario256,c1,right,0,0.8,20,left,80,80,80,right,0,80,-90,base,0,2.4483045608934497,0
scenario257,c4,base,40,1.0,0,right,40,20,40,base,80,0,-90,left,0,2.3459394184517164,0
scenario258,c2,base,0,1.0,60,base_left_lane,40,80,100,left,100,20,-30,right,0,1.105471431233492,0
scenario259,c1,right,60,0.2,60,left,40,0,60,right,0,40,0,base,0,2.1485547105661413,0
scenario260,c2,left,80,0.4,40,right,0,0,40,base,80,20,-30,base,0,4.144124088256624,0
