Instances,feature_TimeOfDay,feature_Cloudiness,feature_WindIntensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Wetness,feature_RoadFriction,feature_FogDensity,feature_FogDistance,Visibility,RoadSurface,VehicleStability,PathInteraction,probability,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,collision,min_ttc,algo_safety
scenario133,-30,20,80,40,20,40,0.8,0,100,20,20,40,c1,1e-05,base,left,left,right,0,1.6663150448559982,0
scenario134,0,20,100,60,0,80,0.4,40,60,20,20,40,c2,1e-05,base,left,right,base,0,3.9031164803693046,0
scenario135,90,40,100,0,20,40,0.8,40,60,20,20,40,c4,1e-05,right,base,left,base,0,2.534253683937898,0
scenario136,-60,60,100,60,60,40,0.6,100,0,20,20,60,c1,1e-05,base,right,left,right,0,2.708767799069125,0
scenario137,-60,40,40,0,100,60,0.6,0,100,20,20,60,c2,1e-05,right,left,base,left,1,4.214305535218086,1
scenario138,-60,40,80,40,0,100,0.2,100,0,20,20,60,c4,1e-05,left,right,right,base,0,2.367216836483038,0
scenario139,90,40,100,0,40,60,0.8,80,20,20,20,80,c1,1e-05,left,right,base,right,0,2.900695442163541,0
scenario140,60,0,80,0,100,40,0.6,0,100,20,20,80,c2,1e-05,right,base,base,left,1,1.341911559473522,1
scenario141,-60,20,60,60,40,0,0.8,100,0,20,20,80,c4,1e-05,right,base,left,right,0,2.708896563537465,0
scenario142,-60,80,60,0,0,0,0.8,0,20,20,20,100,c1,1e-05,left,right,base,left,0,9999.0,0
scenario143,-60,20,20,0,0,20,0.8,40,60,20,20,100,c2,1e-05,base,left,right,left,0,4.490447019939103,0
scenario144,0,20,80,0,100,40,0.6,40,60,20,20,100,c4,1e-05,left,base,right,base,0,3.489214652448751,0
scenario145,-60,80,80,0,0,100,0.6,0,100,20,40,0,c1,1e-05,base,left,left,right,0,2.837006423623858,0
scenario146,-30,20,20,20,0,0,0.4,0,100,20,40,0,c2,1e-05,base,left,right,base,0,4.50352891437109,0
scenario147,90,60,20,0,40,40,0.8,40,60,20,40,0,c4,1e-05,right,base,left,base,0,2.872005404083864,0
scenario148,90,80,60,0,0,0,0.8,80,20,20,40,20,c1,1e-05,base,right,left,right,0,3.017564858059289,0
scenario149,60,20,60,20,0,80,0.2,100,0,20,40,20,c2,1e-05,right,left,base,left,0,0.8074604634249024,0
scenario150,0,60,20,0,20,40,0.8,80,20,20,40,20,c4,1e-05,left,right,right,base,0,1.503832244637074,0
scenario151,-60,20,60,0,40,60,0.8,80,20,20,40,40,c1,1e-05,left,right,base,right,0,2.16708986764173,0
scenario152,60,20,40,60,0,40,0.8,40,60,20,40,40,c2,1e-05,right,base,base,left,1,9999.0,1
scenario153,30,20,20,0,80,0,0.6,0,100,20,40,40,c4,1e-05,right,base,left,right,0,1.597506362173441,0
scenario154,-30,40,80,0,100,0,0.6,0,100,20,40,60,c1,1e-05,left,right,base,left,0,9999.0,0
scenario155,30,20,60,0,80,40,0.6,80,20,20,40,60,c2,1e-05,base,left,right,left,0,4.366467187916702,0
scenario156,0,20,40,60,100,40,0.6,100,0,20,40,60,c4,1e-05,left,base,right,base,0,2.684808484594467,0
scenario157,-30,60,60,0,40,0,0.8,0,100,20,40,80,c1,1e-05,base,left,left,right,0,2.921550348199565,0
scenario158,-90,40,80,100,100,60,0.6,100,0,20,40,80,c2,1e-05,base,left,right,base,0,4.426609595161543,0
scenario159,-30,40,40,40,100,100,0.1,100,0,20,40,80,c4,1e-05,right,base,left,base,0,2.703189004469518,0
scenario160,30,40,40,20,20,60,0.2,60,40,20,40,100,c1,1e-05,base,right,left,right,0,1.8485871984585984,0
scenario161,30,60,20,40,0,0,0.8,40,60,20,40,100,c2,1e-05,right,left,base,left,0,1.3931780856226896,0
scenario162,-60,20,100,0,40,60,0.6,0,100,20,40,100,c4,1e-05,left,right,right,base,0,9999.0,0
scenario163,-60,40,100,20,80,60,0.6,40,60,20,60,0,c1,1e-05,left,right,base,right,0,2.2872679509037765,0
scenario164,-30,20,60,40,100,60,0.6,60,40,20,60,0,c2,1e-05,right,base,base,left,1,1.2359599343553531,1
scenario165,-30,60,80,60,0,0,0.8,40,60,20,60,0,c4,1e-05,right,base,left,right,0,2.619048026905858,0
scenario166,30,80,40,0,0,0,0.8,80,20,20,60,20,c1,1e-05,left,right,base,left,0,1.859958654122681,0
scenario167,-30,20,100,40,100,0,0.6,60,40,20,60,20,c2,1e-05,base,left,right,left,0,4.840408650056331,0
scenario168,30,60,100,0,0,100,0.2,80,20,20,60,20,c4,1e-05,left,base,right,base,0,2.0131250247863792,0
scenario169,-90,0,40,0,0,80,0.4,40,60,20,60,40,c1,1e-05,base,left,left,right,1,9999.0,1
scenario170,-90,60,60,40,100,100,0.1,40,60,20,60,40,c2,1e-05,base,left,right,base,0,3.362742287107051,0
scenario171,-60,20,20,40,100,0,0.6,40,60,20,60,40,c4,1e-05,right,base,left,base,0,3.2754769538259367,0
scenario172,-60,40,20,60,40,40,0.6,40,60,20,60,60,c1,1e-05,base,right,left,right,0,2.3616150640117795,0
scenario173,60,40,20,60,80,40,0.6,0,100,20,60,60,c2,1e-05,right,left,base,left,0,1.1577196078724263,0
