Instances,feature_TimeOfDay,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario216,-60,c1,left,right,base,right,0.4,100,60,100,20,0,80,60,0,2.910610602086434,0
scenario217,90,c1,left,right,base,right,1.0,20,80,40,0,80,100,40,0,1.9969390830534104,0
scenario218,-60,c4,left,base,right,base,0.8,60,0,20,20,20,20,0,0,2.435824605739784,0
scenario219,30,c1,left,right,base,left,1.0,40,60,100,80,0,100,40,0,1.844021047506188,0
scenario220,-90,c2,right,left,base,left,0.8,80,80,100,100,80,40,0,0,0.9964043014838294,0
scenario221,0,c4,right,base,left,base,0.2,20,0,100,80,20,20,60,0,2.501176203664424,0
scenario222,30,c4,left,right,right,base,0.4,20,40,60,60,40,40,0,0,1.168762192626917,0
scenario223,-60,c2,right,base,base,left,0.4,20,40,40,0,40,20,40,0,2.8936789230155,0
scenario224,-90,c1,left,right,base,right,0.4,0,40,40,60,60,20,0,0,2073.46056099862,0
scenario225,30,c1,base,left,left,right,0.1,0,60,60,60,100,20,40,0,3.5966252111752484,0
scenario226,-90,c2,base,left,right,left,0.6,20,20,0,20,80,60,0,0,4.126415735796682,0
scenario227,-90,c1,left,right,base,right,0.8,100,20,100,0,40,20,80,0,2.175717116236817,0
scenario228,-90,c1,left,right,base,right,0.1,0,40,0,80,40,20,20,0,9999.0,0
scenario229,-90,c4,right,base,left,base,0.8,0,60,20,40,0,0,20,0,2.963629582901268,0
scenario230,90,c2,base,left,right,left,0.4,80,40,100,40,40,40,100,0,4.096643458678569,0
scenario231,60,c2,base,left,right,left,1.0,20,40,60,20,100,40,80,0,4.062177887548324,0
scenario232,-90,c1,base,left,left,right,0.2,40,20,40,60,100,80,60,0,2.9050409814078493,0
scenario233,-60,c2,base,left,right,left,0.4,80,20,100,100,40,100,20,0,3.768875388344063,0
scenario234,30,c1,base,right,left,right,0.1,40,100,20,40,80,40,60,0,1.7497069572865582,0
scenario235,-30,c1,left,right,base,right,1.0,40,20,60,100,0,20,20,0,2.1480251548744107,0
scenario236,-60,c2,right,base,base,left,0.2,100,60,80,80,60,80,0,1,2.6585780795430005,1
scenario237,-60,c2,right,left,base,left,0.6,60,0,80,60,40,0,100,0,0.7787747658672276,0
scenario238,-60,c4,right,base,left,base,1.0,40,80,40,20,80,40,40,0,2.4415526154374185,0
scenario239,90,c1,left,right,base,right,0.8,20,60,60,60,20,100,100,1,9999.0,1
scenario240,-30,c1,left,right,base,left,0.1,0,80,40,40,100,20,100,0,9999.0,0
scenario241,60,c4,left,base,right,base,0.1,40,60,60,20,80,60,60,0,2.842053910901187,0
scenario242,60,c1,left,right,base,right,1.0,60,0,0,40,100,0,0,0,1.6302944535943655,0
scenario243,-30,c2,right,base,base,left,0.6,40,0,0,40,0,0,40,0,1.1345555350709962,0
scenario244,0,c1,left,right,base,right,0.4,0,100,60,40,20,60,20,0,4497.415666718529,0
scenario245,0,c2,base,left,right,base,0.1,80,60,100,0,80,60,20,0,4.556151003069548,0
scenario246,-90,c4,right,base,left,base,0.1,20,0,100,20,100,0,80,1,2.2729429828782157,1
scenario247,-30,c4,right,base,left,right,0.8,20,20,0,40,100,100,60,0,1.9716696298816665,0
scenario248,90,c4,left,right,right,base,0.6,100,0,60,20,0,0,80,1,9999.0,1
scenario249,60,c1,left,right,base,right,0.8,20,100,20,100,100,0,100,0,9999.0,0
scenario250,90,c2,base,left,right,left,1.0,40,60,20,80,40,0,20,0,4.438119166214763,0
scenario251,-30,c2,base,left,right,base,0.8,0,40,60,40,100,80,40,0,4.174045798792135,0
scenario252,30,c4,right,base,left,base,0.2,40,80,60,0,40,80,80,0,2.923314214354542,0
scenario253,-30,c2,base,left,right,left,0.1,40,60,100,40,20,100,20,0,4.536998843339429,0
scenario254,-30,c1,left,right,base,right,0.2,20,0,40,20,0,0,100,0,9999.0,0
scenario255,-90,c2,base,left,right,left,0.6,20,80,20,60,60,40,40,0,3.605451607354692,0
scenario256,0,c2,right,left,base,left,0.2,40,40,80,100,20,100,40,0,0.8651231428080463,0
scenario257,30,c1,base,left,left,right,0.4,20,20,0,80,20,80,20,0,1.5330678523067487,0
scenario258,90,c4,left,right,right,base,0.1,100,80,80,40,40,60,0,0,1.6033318908372696,0
scenario259,90,c1,left,right,base,right,0.6,20,100,20,80,80,100,20,0,0.6136183533372428,0
scenario260,-90,c1,base,left,left,right,0.1,60,0,60,80,80,100,0,1,9999.0,1
scenario261,60,c1,base,left,left,right,0.4,100,80,80,40,80,40,20,0,1.8879781874930148,0
scenario262,-60,c1,left,right,base,right,1.0,0,80,40,100,60,80,0,0,1.579828380559003,0
scenario263,90,c4,right,base,left,base,1.0,80,80,80,60,60,60,20,0,3.2933091477099765,0
scenario264,30,c2,right,base,base,left,0.8,0,40,60,100,80,100,20,0,0.657728230587011,0
scenario265,30,c2,base,left,right,left,0.4,100,100,100,0,80,0,100,0,4.632069943073119,0
scenario266,-30,c2,base,left,right,left,1.0,60,100,0,60,20,80,80,0,4.43764149768449,0
scenario267,-60,c2,base,left,right,base,0.1,100,0,100,0,80,20,100,0,4.35241083668542,0
scenario268,60,c2,base,left,right,base,0.8,0,60,40,0,0,40,60,0,4.074646836346774,0
scenario269,-60,c1,left,right,base,right,1.0,80,20,100,60,0,40,80,0,1.428485721212326,0
