instances,pathinteraction,feature_startego,feature_goalego,feature_startother,feature_goalother,feature_cloudiness,feature_precipitation,feature_precipitationdeposits,feature_windintensity,feature_fogdensity,feature_fogdistance,feature_wetness,feature_roadfriction,collision,minttc,algo_safety
scenario260,c4,2,0,1,2,20,80,100,80,60,20,60,1.0,True,0.0,1
scenario261,c4,1,0,2,0,0,80,100,20,60,100,100,0.8,True,0.0,1
scenario262,c4,1,0,2,0,20,40,0,60,100,80,60,0.6,True,0.0,1
scenario263,c1,1,2,0,1,0,40,60,80,20,80,20,1.0,False,677.845,0
scenario264,c1,0,1,1,2,0,60,40,80,20,0,60,1.0,False,5.152,0
scenario265,c4,2,0,1,2,0,60,60,60,80,20,60,0.8,True,0.0,1
scenario266,c1,0,1,1,2,20,40,40,80,20,80,40,1.0,False,9999.0,0
scenario267,c1,1,2,0,2,0,0,60,80,0,100,80,1.0,False,1461.527,0
scenario268,c4,2,0,1,0,20,80,20,80,60,80,60,0.8,False,2.954,0
scenario269,c4,1,0,2,0,0,20,0,40,80,80,60,0.8,True,0.0,1
scenario270,c4,1,0,2,0,20,80,100,40,60,100,100,0.8,True,0.0,1
scenario271,c1,0,1,1,2,0,100,80,40,0,40,60,0.8,False,6682.823,0
scenario272,c4,2,0,1,2,0,80,80,20,80,60,60,0.8,True,0.0,1
scenario273,c4,2,0,1,2,0,100,100,40,60,100,100,1.0,False,0.809,0
scenario274,c4,2,0,1,2,0,80,80,80,80,40,80,1.0,True,0.0,1
scenario275,c4,1,2,2,0,20,80,100,20,60,100,100,0.1,True,0.0,1
scenario276,c2,0,1,2,1,100,80,80,60,60,40,60,0.8,False,4.021,0
scenario277,c4,2,0,1,2,0,60,60,60,80,20,60,0.8,True,0.0,1
scenario278,c1,1,2,0,2,20,0,80,100,20,100,60,1.0,False,2513.956,0
scenario279,c1,0,2,1,2,0,100,100,40,0,20,0,0.4,False,9999.0,0
scenario280,c2,2,0,0,1,20,80,20,0,100,80,80,0.8,False,3.708,0
scenario281,c1,0,1,1,2,0,0,80,40,60,80,80,0.2,True,0.0,1
scenario282,c2,0,1,2,1,20,100,60,20,60,100,80,0.2,False,4.815,0
scenario283,c4,1,2,2,0,0,100,80,20,100,60,60,0.8,True,0.0,1
scenario284,c4,1,0,2,0,20,100,100,40,80,80,80,0.8,True,0.0,1
scenario285,c2,0,1,2,1,100,0,100,80,60,40,60,0.8,False,4.652,0
scenario286,c4,2,0,1,0,0,80,60,60,80,20,60,0.8,False,3.399,0
scenario287,c1,1,2,0,2,20,60,40,60,20,80,80,0.1,False,4.163,0
scenario288,c4,2,0,1,2,0,100,80,40,0,40,60,1.0,False,0.941,0
scenario289,c4,2,0,1,2,0,60,100,80,60,100,80,1.0,False,1.019,0
scenario290,c1,0,2,1,2,20,40,100,60,20,100,100,1.0,False,4.977,0
scenario291,c4,2,0,1,2,100,80,100,80,60,20,20,1.0,True,0.0,1
scenario292,c4,1,0,2,0,0,60,100,60,40,20,60,1.0,True,0.0,1
scenario293,c4,2,0,1,0,0,80,0,80,80,40,60,1.0,False,2.966,0
scenario294,c4,2,0,1,2,60,80,100,80,60,100,80,1.0,True,0.0,1
scenario295,c1,0,2,1,2,0,80,0,80,80,40,60,1.0,False,4.759,0
scenario296,c1,0,1,1,2,0,60,100,60,100,100,80,1.0,False,4.581,0
scenario297,c2,2,0,0,1,60,80,100,60,40,100,80,1.0,False,3.657,0
scenario298,c2,0,1,2,1,100,60,100,100,60,60,60,1.0,False,3.702,0
