Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
scenario269,c1,base,left,left,right,20,80,0,20,0,0,60,0,1.0,False,4.25,0
scenario270,c2,base,left,right,left,0,100,40,100,-90,100,40,20,0.4,False,2.763,0
scenario271,c1,base,left,left,right,100,80,20,20,-60,20,60,20,0.2,False,2.913,0
scenario272,c2,right,base,base,left,60,60,0,80,-30,100,20,60,0.2,True,0.0,1
scenario273,c1,left,right,base,left,100,100,0,100,-30,20,80,40,0.8,False,7818.542,0
scenario274,c1,base,right,left,right,80,20,0,0,0,60,40,0,0.1,False,2.495,0
scenario275,c4,right,base,left,base,60,80,0,20,-90,40,20,0,0.2,False,4725.717,0
scenario276,c1,left,right,base,right,100,100,60,20,-30,40,20,80,0.2,False,55.388,0
scenario277,c2,right,left,base,left,60,80,0,100,30,40,20,0,0.8,False,1.433,0
scenario278,c2,base,left,right,base,0,20,0,100,-30,80,0,60,1.0,True,0.0,1
scenario279,c2,base,left,right,base,40,20,80,80,-60,40,20,20,0.4,False,1.713,0
scenario280,c4,left,base,right,base,60,80,0,40,-90,0,20,20,0.6,False,4482.111,0
scenario281,c2,right,base,base,left,80,0,20,20,-90,80,20,80,0.1,False,0.985,0
scenario282,c1,base,right,left,right,40,20,0,20,-30,80,20,0,0.6,False,4.114,0
scenario283,c4,left,base,right,base,40,80,100,60,-30,40,20,20,0.4,False,2.594,0
scenario284,c2,base,left,right,base,80,100,20,20,-90,60,20,80,0.1,False,2.338,0
scenario285,c1,left,right,base,right,60,80,0,0,60,100,60,40,1.0,False,22.787,0
scenario286,c1,base,right,left,right,60,60,20,80,-60,80,100,80,0.8,False,3.231,0
scenario287,c2,right,base,base,left,40,60,0,100,-90,40,20,20,0.4,False,3.211,0
scenario288,c4,left,base,right,base,40,40,40,40,-90,20,20,40,0.2,False,3704.731,0
scenario289,c2,right,base,base,left,40,40,0,100,-90,100,20,40,0.4,False,3.462,0
scenario290,c2,right,base,base,left,80,0,20,20,-90,80,20,80,0.1,True,0.0,1
scenario291,c1,left,right,base,right,100,20,20,40,-90,80,60,60,0.1,False,4627.535,0
