instances,pathinteraction,feature_goalego,feature_windintensity,feature_roadfriction,feature_fogdistance,feature_startother,feature_precipitationdeposits,feature_cloudiness,feature_fogdensity,feature_goalother,feature_precipitation,feature_wetness,feature_startego,collision,min_ttc,algo_safety
scenario273,c1,2,20,0.8,80,0,20,60,60,2,40,40,1,0,3.171339922639538,0
scenario274,c4,0,20,0.2,80,2,0,40,0,2,60,100,2,1,0.0,1
scenario275,c2,1,100,1.0,20,1,40,20,60,1,60,0,2,0,3.3370935676529987,0
scenario276,c4,2,80,0.1,40,3,20,60,40,0,0,0,1,0,1.8682514092085067,0
scenario277,c1,1,80,0.1,100,2,0,20,20,2,20,0,0,0,9999.0,0
scenario278,c1,2,0,0.8,40,2,60,100,100,2,0,60,0,0,4.523777928266552,0
scenario279,c2,1,100,0.1,0,1,20,80,20,1,100,100,2,0,3.3944951752605435,0
scenario280,c1,1,80,0.1,80,2,80,60,40,2,20,40,0,0,4.803791284507896,0
scenario281,c2,0,20,1.0,60,1,60,0,80,1,80,40,2,0,3.070037798355982,0
scenario282,c1,2,100,0.8,0,2,0,0,60,2,20,0,0,0,5.135603552101172,0
scenario283,c2,1,60,0.4,0,3,60,80,100,1,40,80,0,0,3.466338862120617,0
scenario284,c1,2,80,0.2,40,2,60,60,20,2,100,40,0,0,5.141883144965875,0
scenario285,c2,0,100,0.6,80,1,40,20,100,1,0,0,2,0,5.711090380048802,0
scenario286,c1,2,40,0.8,60,2,40,0,60,2,100,80,0,0,4.5984716749735135,0
scenario287,c4,0,80,0.1,40,3,80,0,20,0,40,40,1,1,0.0,1
scenario288,c4,0,20,0.2,20,3,0,80,20,0,60,100,1,1,0.0,1
scenario289,c4,0,40,0.1,100,3,0,40,60,0,60,40,1,1,0.0,1
scenario290,c1,2,40,1.0,40,0,0,60,80,2,80,20,1,0,3.0953177117139874,0
scenario291,c1,1,0,1.0,0,2,40,20,60,2,40,60,0,0,4.67241818019566,0
scenario292,c1,2,40,0.2,100,2,100,80,0,2,80,40,0,0,9999.0,0
scenario293,c1,1,80,0.8,20,2,0,60,0,2,40,80,0,0,9999.0,0
scenario294,c4,0,60,0.6,20,3,20,20,20,0,20,40,1,1,0.0,1
scenario295,c1,2,60,1.0,40,2,80,60,80,2,20,100,0,0,3.655928495793235,0
scenario296,c4,0,60,0.6,40,2,20,100,60,2,20,20,2,0,0.8250022863279157,0
