Row,cloudiness,windintensity,precipitation,precipitationdeposits,wetness,roadfriction,fogdensity,fogdistance,startego,goalego,startother,goalother
scenario95,0,0,0,0,0,0,0,0,1.17630343737262,0.0900207170586094,-1.26632415443123,0.0900207170586099
scenario96,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.0900207170586099,-1.26632415443123
scenario97,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,-1.26632415443123,0.0900207170586099
scenario98,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,1.17630343737262,-1.26632415443123
scenario99,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.0900207170586099,1.17630343737262
scenario100,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,-1.26632415443123,1.17630343737262
scenario101,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,-1.26632415443123,0.0900207170586099
scenario102,0,0,0,0,0,0,0,0,0.0900207170586099,-1.26632415443124,1.17630343737262,-1.26632415443123
scenario103,0,0,0,0,0,0,0,0,-1.26632415443124,1.17630343737262,0.0900207170586099,1.17630343737262
scenario104,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,1.17630343737262,0.0900207170586099
scenario105,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,1.17630343737262,-1.26632415443123
scenario106,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,0.0900207170586099,1.17630343737262
scenario107,0,0,0,0,0,0,0,0,1.17630343737262,0.0900207170586094,-1.26632415443123,0.0900207170586099
scenario108,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.0900207170586099,-1.26632415443123
scenario109,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,-1.26632415443123,0.0900207170586099
scenario110,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,1.17630343737262,-1.26632415443123
scenario111,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.0900207170586099,1.17630343737262
scenario112,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,-1.26632415443123,1.17630343737262
scenario113,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,-1.26632415443123,0.0900207170586099
scenario114,0,0,0,0,0,0,0,0,0.0900207170586099,-1.26632415443124,1.17630343737262,-1.26632415443123
scenario115,0,0,0,0,0,0,0,0,-1.26632415443124,1.17630343737262,0.0900207170586099,1.17630343737262
scenario116,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,1.17630343737262,0.0900207170586099
scenario117,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,1.17630343737262,-1.26632415443123
scenario118,0,0,0,0,0,0,0,0,-1.26632415443124,0.0900207170586094,0.0900207170586099,1.17630343737262
scenario119,0,0,0,0,0,0,0,0,1.17630343737262,0.0900207170586094,-1.26632415443123,0.0900207170586099
scenario120,0,0,0,0,0,0,0,0,1.17630343737262,-1.26632415443124,0.0900207170586099,-1.26632415443123
scenario121,0,0,0,0,0,0,0,0,0.0900207170586099,1.17630343737262,-1.26632415443123,0.0900207170586099
