Instances,feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeofDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,collision,min_ttc,algo_safety
scenario271,left,0,100,20,0,30,40,0,0,0.4,0,1.3377269574277937,0
scenario272,left,0,100,20,80,30,40,0,0,0.0,0,1.343535523459766,0
scenario273,left,0,100,40,80,30,40,0,0,0.4,0,1.080584186538159,0
scenario274,left,0,100,20,80,60,40,0,0,0.4,0,1.3707940616289591,0
scenario275,left,0,100,20,80,90,40,0,0,0.4,0,1.371110385639286,0
scenario276,left,0,100,100,80,30,20,0,20,0.4,0,0.994805110390436,0
scenario277,left,0,20,20,80,30,40,0,20,1.0,0,1.38257530974864,0
scenario278,right,60,100,20,80,30,40,0,20,0.4,0,0.8453664839170479,0
scenario279,left,60,100,20,80,30,40,0,60,0.4,0,1.329529269386876,0
scenario280,left,0,100,20,100,30,40,0,20,0.2,0,1.31179499780251,0
scenario281,right,0,100,20,80,30,40,0,20,0.6,0,0.950006651619454,0
scenario282,left,0,100,20,80,30,40,0,60,0.6,0,1.4444107065749814,0
scenario283,left,0,100,20,80,30,80,60,20,0.4,0,1.4514088507483398,0
scenario284,left,0,40,100,80,30,40,0,20,0.4,0,1.0279890817943422,0
scenario285,left,60,100,20,80,30,40,80,20,0.4,0,1.5031332668203106,0
scenario286,left,100,100,20,80,30,40,0,40,0.4,0,1.3425704656753257,0
scenario287,right,0,100,20,100,30,40,0,20,0.4,0,0.7887063231561701,0
scenario288,left,0,100,20,100,30,40,0,60,0.4,0,1.3008387472266685,0
scenario289,left,0,100,20,80,30,40,60,80,0.4,0,0.9263195943283896,0
scenario290,left,0,100,100,80,30,40,0,20,1.0,0,1.772405549076298,0
scenario291,left,40,100,20,80,0,40,0,20,0.4,0,1.3326337077954642,0
scenario292,left,0,100,20,80,30,40,80,20,0.6,0,1.4214559370743194,0
scenario293,left,0,20,100,80,30,40,0,20,0.4,0,0.9491977399136554,0
scenario294,left,0,0,20,80,30,40,0,100,0.4,0,0.8992519793052803,0
scenario295,left,0,100,20,0,30,40,0,100,0.4,0,1.152874758508093,0
scenario296,left,0,100,40,80,30,40,0,100,0.4,0,0.8004832212302985,0
scenario297,left,0,100,20,80,30,40,0,100,0.0,0,0.7843080295884578,0
scenario298,left,0,100,20,80,60,40,0,100,0.4,0,1.5759003930835551,0
scenario299,left,0,100,20,80,90,40,0,100,0.4,0,1.4566369478722911,0
scenario300,left,80,100,20,80,30,40,60,20,0.4,0,1.37680208637109,0
scenario301,left,0,100,20,100,30,40,80,20,0.4,0,1.50553186111188,0
scenario302,left,60,100,60,80,30,40,0,20,0.4,0,0.9541374228338688,0
scenario303,left,60,100,20,80,30,20,0,20,0.4,0,1.499372182365534,0
scenario304,left,40,100,20,80,-30,40,0,20,0.4,0,1.3759065771466237,0
scenario305,left,0,100,60,80,30,40,0,20,0.6,0,0.9327175493690352,0
scenario306,left,0,100,20,80,30,20,0,20,0.6,0,1.6225634708009122,0
scenario307,left,0,100,20,60,30,40,60,20,0.4,0,1.4628959311734049,0
scenario308,left,0,80,20,80,30,40,0,20,0.8,0,1.4327053809010433,0
scenario309,left,60,40,20,80,30,40,0,20,0.4,0,1.4274164629041588,0
scenario310,left,0,100,60,100,30,40,0,20,0.4,0,0.9730451183727792,0
scenario311,left,0,100,20,100,30,20,0,20,0.4,0,1.5147149475851835,0
scenario312,left,60,100,20,80,30,40,0,20,1.0,0,1.3317219570251797,0
scenario313,left,0,40,20,80,30,40,0,20,0.6,0,1.39117244127618,0
scenario314,left,60,20,20,80,30,40,0,20,0.4,0,1.33699026392181,0
scenario315,left,0,80,20,80,30,40,100,20,0.4,0,1.5373529182903036,0
scenario316,left,0,40,20,100,30,40,0,20,0.4,0,1.4463795396675418,0
scenario317,left,0,20,20,80,30,40,0,20,0.6,0,1.460024706505074,0
scenario318,left,0,80,20,80,30,0,0,20,0.4,0,1.443240451770803,0
scenario319,left,0,100,20,100,30,40,0,20,1.0,0,1.3479803362758902,0
scenario320,left,0,100,20,80,30,40,60,40,0.4,0,1.4087470287575985,0
scenario321,left,0,20,20,100,30,40,0,20,0.4,0,1.46541671323844,0
scenario322,left,40,100,20,80,30,80,0,20,0.4,0,1.3542375154320023,0
scenario323,left,40,100,20,80,30,40,0,80,0.4,0,0.9672175094485804,0
scenario324,left,60,100,100,80,30,40,0,20,0.4,0,1.916047942632728,0
scenario325,left,0,0,20,80,30,40,0,20,0.4,0,1.4132922823297798,0
scenario326,left,0,100,20,80,30,40,0,20,0.0,0,1.2913027656786489,0
scenario327,left,0,100,40,80,30,40,0,20,0.4,0,1.0031606573892973,0
scenario328,left,0,100,20,80,60,40,0,20,0.4,0,1.37225856992086,0
scenario329,left,0,100,20,80,90,40,0,20,0.4,0,1.3513287351869885,0
scenario330,left,0,100,100,80,30,40,0,20,0.6,0,1.675398643319826,0
scenario331,left,0,100,100,100,30,40,0,20,0.4,0,2.0512783950227265,0
scenario332,left,0,100,80,80,30,40,0,20,0.8,0,0.9690807297098396,0
scenario333,left,40,100,20,60,30,40,0,20,0.4,0,1.4141508753751744,0
