instances,feature_timeofday,feature_cloudiness,feature_windintensity,feature_precipitation,feature_precipitationdeposits,feature_wetness,feature_roadfriction,feature_fogdensity,feature_fogdistance,feature_direction,visibility,roadsurface,vehiclestability,probability,collision,min_ttc,run_duration,algo_safety
scenario158,-90,20,40,0,0,0,0.8,0,100,1,80,40,20,0.00775,0,0.8344653848632426,26.74960970878601,0
scenario159,-90,20,80,0,0,0,0.8,0,100,1,80,40,40,0.00798,0,0.8978760737713574,26.73282647132873,0
scenario160,-90,20,40,0,0,0,0.8,0,100,1,80,40,60,0.00795,0,0.9165083123018176,26.98510146141052,0
scenario161,0,40,100,0,0,0,0.8,0,100,1,80,40,80,0.00148,0,0.8785123660215811,26.91334223747253,0
scenario162,-90,20,40,0,0,0,0.8,0,100,0,80,40,100,0.00789,0,0.9960029154266417,22.011459350585938,0
scenario163,-90,20,40,0,0,0,0.8,0,100,1,80,60,0,0.00798,0,0.987700545061308,26.888426780700684,0
scenario164,-90,20,40,0,0,0,0.8,0,100,1,80,60,20,0.00803,0,0.8660901885659744,27.03361225128174,0
scenario165,-90,20,80,0,0,0,0.8,0,100,1,80,60,40,0.00804,0,0.7221337547562391,26.85303807258606,0
scenario166,-90,20,60,0,0,0,0.8,0,100,0,80,60,60,0.00804,0,1.0197979031114643,22.28616690635681,0
scenario167,-90,20,40,0,0,0,0.8,0,100,1,80,60,80,0.00782,0,0.8336349293369268,26.64249539375305,0
scenario168,-90,20,40,0,0,0,0.8,0,100,1,80,60,100,0.00807,0,0.9096665178967006,26.82381820678711,0
scenario169,60,40,20,0,0,0,0.8,0,100,0,80,80,0,0.00155,0,1.1455435165753922,21.85089659690857,0
scenario170,-60,40,40,0,0,0,0.8,0,100,0,80,80,20,0.00148,0,1.0798084899241305,22.21845507621765,0
scenario171,-90,20,80,0,0,0,0.8,0,100,1,80,80,40,0.00772,0,0.936947661787934,26.840416431427,0
scenario172,-90,20,60,0,0,0,0.8,0,100,0,80,80,60,0.00797,0,1.0605152444283827,22.36990237236023,0
scenario173,-90,20,40,0,0,0,0.8,0,100,0,80,80,80,0.008,0,1.034780583867153,22.06726312637329,0
scenario174,-90,20,80,0,0,0,0.8,0,100,0,80,80,100,0.00808,0,1.0482258029508515,22.27552628517151,0
scenario175,-90,20,40,0,0,0,0.8,0,100,1,80,100,0,0.0079,0,0.720095749559122,26.663321256637573,0
