feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
left,40,20,60,40,60,40,40,40,0.2,False,1.392,0
right,40,40,100,0,30,0,80,40,0.8,False,0.691,0
left,40,20,20,60,90,60,60,40,0.2,False,1.446,0
left,60,20,100,0,30,0,80,40,0.1,False,1.077,0
left,0,0,80,0,30,80,20,40,0.2,False,1.382,0
left,40,20,60,40,60,40,60,20,0.1,False,1.438,0
right,60,100,60,0,90,40,80,40,1.0,False,1.116,0
left,0,20,60,20,0,80,60,0,1.0,False,1.538,0
right,40,40,80,20,30,0,60,40,0.6,False,0.553,0
right,40,60,100,40,30,20,40,0,0.4,False,0.589,0
right,20,0,80,40,30,60,80,80,0.1,False,0.984,0
left,0,20,80,20,60,60,60,60,0.1,False,1.289,0
left,60,40,100,0,30,0,80,20,0.6,False,0.896,0
right,40,40,80,20,30,0,60,40,0.6,False,0.529,0
left,60,100,40,0,60,60,80,60,0.8,False,1.619,0
right,80,100,40,40,90,40,80,40,1.0,False,2.28,0
right,60,80,20,0,60,0,60,40,0.2,False,0.802,0
right,0,40,100,0,0,20,80,40,0.8,False,2.014,0
left,60,80,100,0,30,20,60,40,0.1,False,0.94,0
right,40,80,80,40,30,0,40,20,0.2,False,0.634,0
right,60,80,80,0,30,0,80,60,0.8,False,0.664,0
right,100,20,100,40,30,80,100,60,0.1,False,1.238,0
left,20,0,80,80,-30,100,20,20,0.8,False,1.395,0
right,20,40,40,20,90,80,80,40,0.1,False,1.832,0
right,40,100,80,0,90,20,100,40,1.0,False,2.034,0
left,60,0,100,0,60,0,0,0,0.1,False,1.362,0
left,0,100,0,20,90,0,100,100,0.1,False,1.359,0
left,80,0,100,100,-90,100,60,100,0.2,False,1.418,0
left,100,80,100,20,-60,80,100,0,0.1,False,1.382,0
