feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
right,100,0,0,40,60,0,80,40,0.8,False,0.808,0
left,100,40,0,100,-60,20,20,20,0.2,False,1.048,0
right,0,20,0,80,90,20,40,60,0.2,False,0.912,0
left,100,100,60,100,90,20,0,40,0.4,False,1.106,0
right,80,20,0,20,90,40,100,0,0.1,False,0.837,0
left,20,20,0,60,60,40,60,60,0.6,False,1.186,0
right,0,20,0,0,0,60,40,60,0.8,False,0.921,0
left,60,0,0,100,90,20,0,0,0.1,False,1.193,0
left,100,20,20,100,90,20,40,20,0.1,False,1.178,0
right,20,60,20,80,0,20,0,0,0.1,False,0.853,0
left,100,100,0,100,-90,80,0,0,0.2,False,1.093,0
right,0,0,20,60,-90,80,0,20,0.1,False,0.859,0
right,100,60,20,0,90,0,0,20,0.2,False,0.866,0
right,40,20,0,80,60,40,60,60,0.1,False,0.772,0
right,40,20,0,80,60,40,60,60,0.1,False,0.76,0
right,40,0,0,100,90,60,80,80,0.1,False,0.924,0
right,60,0,0,60,90,60,60,60,0.1,False,0.835,0
right,80,0,0,100,90,100,60,40,0.2,False,0.77,0
right,20,20,0,60,-30,40,60,40,0.1,False,0.898,0
right,20,40,20,100,-90,20,40,40,0.2,False,0.863,0
right,40,20,0,100,90,20,60,60,0.1,False,0.917,0
right,40,20,20,80,90,40,80,40,0.1,False,0.817,0
right,20,20,100,80,30,20,60,40,0.2,False,0.825,0
left,40,40,40,60,30,40,40,80,0.1,False,1.148,0
right,40,20,0,100,60,20,80,60,0.1,False,0.715,0
right,20,20,0,80,60,40,80,60,0.1,False,0.815,0
right,40,20,0,100,60,20,80,60,0.1,False,0.837,0
left,40,20,60,40,-90,80,20,80,0.1,False,1.035,0
left,40,20,0,60,60,20,40,80,0.1,False,1.211,0
left,0,80,80,60,0,0,80,40,0.1,False,1.09,0
right,80,0,0,80,90,60,60,80,0.1,False,0.8,0
left,60,20,40,60,30,40,60,80,0.1,False,1.175,0
left,20,20,20,100,90,60,60,40,0.1,False,1.209,0
right,80,20,0,80,60,0,80,40,0.1,False,0.734,0
left,80,0,0,20,90,60,60,40,0.1,False,1.19,0
right,40,100,20,60,90,20,80,20,0.1,False,0.796,0
right,20,40,20,100,0,20,100,40,0.1,False,0.974,0
right,60,20,0,100,90,0,60,40,0.4,False,0.757,0
right,80,20,0,80,60,0,80,40,0.1,False,0.989,0
left,60,40,40,40,90,20,0,40,0.1,False,1.177,0
right,100,0,20,20,90,80,60,0,0.2,False,1.043,0
left,100,0,0,100,60,60,80,80,0.1,False,1.154,0
right,0,80,0,100,0,40,80,40,0.2,False,0.847,0
right,40,80,0,40,-60,20,80,0,0.4,False,0.784,0
right,20,20,40,100,60,0,80,40,0.2,False,0.817,0
right,100,40,80,60,90,0,100,60,0.2,False,0.772,0
left,20,60,0,80,60,20,80,60,0.1,False,1.103,0
right,40,80,20,60,-90,20,80,20,0.2,False,0.825,0
right,80,0,40,60,0,40,0,80,0.1,False,0.954,0
left,60,0,0,0,90,60,60,40,0.2,False,1.208,0
right,100,40,80,60,90,0,100,60,0.2,False,0.742,0
right,40,20,0,20,90,80,60,100,0.4,False,0.715,0
left,40,40,20,80,90,0,0,20,0.6,False,1.214,0
right,100,20,20,80,60,0,60,40,0.2,False,0.847,0
left,100,100,0,100,-90,0,80,20,0.6,False,1.018,0
right,100,0,20,0,90,20,80,20,0.1,False,0.87,0
left,0,60,20,20,-30,60,80,20,0.1,False,1.152,0
left,80,80,20,40,60,20,0,60,0.1,False,1.23,0
right,60,20,60,100,60,0,100,40,0.1,False,0.802,0
right,60,20,40,80,-30,40,0,100,0.1,False,0.866,0
left,100,0,20,0,90,40,60,0,0.8,False,1.2,0
left,80,40,20,60,90,60,0,60,0.1,False,1.181,0
right,40,20,0,20,90,80,60,100,0.4,False,0.844,0
right,20,60,60,100,90,20,40,80,0.2,False,0.98,0
left,80,100,0,100,-90,0,80,0,0.6,False,1.048,0
right,60,60,20,60,30,40,0,40,0.2,False,0.801,0
left,100,20,20,60,60,20,80,20,0.1,False,1.096,0
left,100,20,60,80,30,0,60,40,0.1,False,1.125,0
left,100,20,0,100,-90,0,60,60,0.4,False,1.036,0
right,40,40,40,80,0,20,20,100,0.1,False,0.855,0
right,20,20,20,20,90,60,40,100,0.2,False,0.924,0
left,80,20,20,60,60,60,40,20,0.6,False,1.142,0
right,40,0,0,20,60,60,60,100,0.6,False,0.683,0
right,20,20,0,20,90,60,80,80,0.8,False,0.95,0
right,0,20,0,80,90,20,40,60,0.2,False,0.775,0
right,0,20,0,80,90,40,40,60,0.4,False,0.782,0
left,100,80,60,100,60,20,20,40,0.4,False,1.088,0
left,20,20,0,100,60,40,60,60,0.4,False,1.08,0
right,40,0,0,0,60,60,60,60,0.6,False,0.74,0
left,40,0,20,20,60,60,60,100,0.6,False,1.201,0
right,80,20,0,20,90,40,100,0,0.1,False,0.982,0
right,0,0,40,60,-90,60,20,0,0.1,False,0.855,0
left,60,0,0,80,90,20,0,20,0.1,False,1.179,0
left,80,20,0,20,90,60,100,0,0.1,False,1.08,0
right,80,80,60,100,90,20,0,40,0.8,False,0.881,0
left,80,20,0,20,30,20,100,0,0.1,False,1.1,0
right,40,0,0,0,60,60,60,60,0.6,False,0.911,0
left,40,20,0,20,60,60,0,60,0.4,False,1.216,0
right,60,0,60,0,90,60,60,40,0.4,False,0.912,0
left,80,0,20,0,60,60,40,40,0.4,False,1.21,0
right,60,80,100,0,30,60,40,60,0.6,False,0.794,0
right,40,0,80,0,60,20,60,60,0.2,False,0.746,0
left,40,100,0,0,90,80,60,60,0.4,False,1.235,0
right,60,20,20,0,60,60,40,80,0.6,False,0.94,0
left,40,0,0,0,60,60,60,60,0.4,False,1.207,0
right,60,0,0,0,30,40,60,60,0.4,False,0.993,0
right,40,100,0,100,90,80,60,80,0.4,False,0.931,0
right,20,0,0,20,60,40,80,40,0.6,False,0.805,0
right,40,0,80,0,60,20,60,60,0.2,False,0.868,0
left,20,0,0,0,90,100,40,60,0.6,False,1.19,0
right,100,20,20,80,90,40,20,60,0.8,False,0.839,0
left,40,20,20,20,90,80,80,60,0.8,False,1.168,0
right,40,0,80,0,30,20,100,40,0.1,False,0.788,0
right,40,100,0,0,60,40,80,100,0.4,False,0.869,0
right,40,0,0,0,-60,60,80,80,1.0,False,0.872,0
left,20,0,0,20,60,60,60,80,0.6,False,1.222,0
right,40,20,0,20,90,100,40,60,0.4,False,0.898,0
right,40,80,100,0,90,60,80,60,0.4,False,0.791,0
right,60,0,100,40,0,60,100,60,0.6,False,0.88,0
left,20,0,80,60,60,20,40,0,0.2,False,1.124,0
right,40,0,80,0,30,20,100,40,0.1,False,0.992,0
left,20,100,100,0,90,60,60,60,0.6,False,1.212,0
right,40,20,100,20,30,20,20,20,0.1,False,0.783,0
left,0,0,80,0,60,20,100,40,0.1,False,1.005,0
right,80,20,20,80,90,40,0,60,1.0,False,0.878,0
right,40,80,100,20,0,60,60,60,0.4,False,0.873,0
left,20,100,0,60,60,40,100,100,0.6,False,1.091,0
right,40,20,80,80,-30,40,40,0,0.4,False,0.967,0
left,100,20,20,0,90,60,80,0,0.6,False,1.207,0
right,0,0,0,20,90,100,60,80,0.4,False,0.796,0
right,20,0,60,0,0,20,100,60,0.2,False,0.953,0
left,20,0,0,0,60,100,60,80,0.6,False,1.209,0
right,40,20,100,20,30,20,20,20,0.1,False,0.749,0
left,40,0,0,20,90,100,100,80,0.6,False,1.139,0
left,60,0,0,0,30,80,0,20,0.4,False,1.213,0
right,0,40,100,0,0,40,100,0,0.1,False,0.988,0
left,40,0,20,40,90,80,40,60,0.8,False,1.098,0
left,40,80,80,40,30,60,80,60,0.4,False,1.132,0
right,20,100,100,20,-30,60,80,40,0.6,False,1.073,0
right,60,0,100,40,60,100,20,0,0.1,False,0.887,0
left,0,20,0,100,60,40,0,80,1.0,False,1.086,0
right,0,20,0,40,90,100,60,80,0.4,False,0.855,0
left,100,0,0,0,90,40,100,0,0.8,False,1.21,0
right,60,20,80,60,0,40,40,0,0.8,False,0.749,0
right,60,20,80,60,0,40,40,0,0.8,False,0.977,0
right,0,40,100,0,0,60,100,0,0.1,False,0.953,0
right,60,20,80,60,-30,60,0,0,1.0,False,0.885,0
right,20,20,100,20,90,100,60,0,0.1,False,0.803,0
left,40,0,0,20,90,80,100,80,0.4,False,1.11,0
left,60,80,80,20,0,0,0,0,0.1,False,1.132,0
right,40,20,100,60,60,80,20,0,0.1,False,0.82,0
right,40,20,100,20,30,20,20,40,0.2,False,0.787,0
left,0,20,80,0,30,40,100,0,1.0,False,1.145,0
right,0,80,40,0,0,100,60,0,0.1,False,0.875,0
right,60,20,80,80,0,0,40,0,1.0,False,0.841,0
left,20,0,0,20,90,100,80,80,0.1,False,1.219,0
left,100,80,60,80,-90,0,100,100,1.0,False,2.898,0
left,0,80,100,40,90,100,100,80,1.0,False,1.17,0
left,20,100,0,100,-90,80,0,80,1.0,False,1.04,0
left,100,40,100,80,-90,100,20,100,0.2,False,1.062,0
left,100,100,40,0,-90,20,0,100,0.1,False,1.067,0
left,100,20,100,0,-90,40,0,20,0.8,False,1.036,0
left,100,80,100,20,90,20,40,100,1.0,False,1.091,0
left,100,100,100,0,0,20,0,100,0.4,False,1.054,0
left,100,0,0,20,30,100,100,0,1.0,False,1.139,0
