feature_TimeofDay,feature_Direction,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,run_duration,algo_safety
60,left,0.8,40,40,40,40,60,20,0,0,1.3952454553552154,76.18031001091003,0
-30,right,0.1,60,40,100,0,20,20,80,0,0.9359222712284768,103.34785771369934,0
60,left,0.8,20,100,60,100,20,80,80,0,1.3852604053352582,74.38302326202393,0
-30,right,0.6,20,100,100,40,0,40,60,0,0.934696406223125,102.91880059242249,0
60,left,0.6,60,100,20,20,40,0,40,0,1.3585118269530865,74.14704489707947,0
30,right,0.4,100,60,100,40,80,0,20,0,1.5674646157896863,158.21934366226196,0
90,left,0.8,100,20,0,40,20,0,100,0,1.4215166994324422,75.23139381408691,0
60,right,0.6,0,80,40,60,40,20,20,0,2.1741726783145587,107.86020421981812,0
-90,right,0.6,100,0,80,100,40,80,80,0,0.9278246325968852,106.183899641037,0
-90,right,1.0,80,0,0,0,40,100,0,0,0.9218503654469002,100.56564259529114,0
60,right,1.0,100,20,20,80,100,60,100,0,1.5064840919075213,151.187185049057,0
60,right,0.8,20,20,80,80,40,100,60,0,1.6519636124119983,143.0502574443817,0
-60,left,0.2,80,20,20,100,80,60,40,0,1.0863390407999312,108.66765928268433,0
-60,left,0.1,100,60,20,60,100,100,0,0,0.6200063444317946,94.32993865013124,0
90,left,0.8,60,0,80,0,60,40,80,0,1.332070359638872,74.77099514007568,0
-30,right,0.4,60,80,0,40,60,80,80,0,0.8793217589193325,98.2006697654724,0
90,left,0.1,40,60,60,100,0,40,100,0,1.4258622061638586,75.44431900978088,0
30,left,0.8,40,100,0,20,0,100,20,0,1.0359373661842892,88.04790663719177,0
-90,right,0.4,0,80,20,20,20,80,60,0,0.8505726571333121,107.60846090316772,0
30,left,0.6,0,20,60,0,0,40,0,0,1.3115689297129904,75.48582410812378,0
-30,right,0.2,20,40,60,100,60,100,100,0,1.1408426696360907,137.73063135147095,0
-60,left,1.0,80,100,100,60,20,0,60,0,0.9961922086228314,105.36117482185364,0
-30,left,0.1,100,80,80,0,80,80,40,0,0.8327565858973004,100.05147242546082,0
-90,left,0.1,80,80,40,100,100,0,20,0,0.8982112424772165,94.7513382434845,0
30,left,0.2,0,60,40,40,40,60,60,0,1.3579184589548694,76.4038405418396,0
-90,left,0.1,60,40,20,80,60,100,40,0,0.8804192424660267,90.8818142414093,0
90,right,0.4,80,40,20,60,40,60,20,0,0.9374940922741932,104.84436225891112,0
-30,left,0.6,60,60,60,40,80,100,0,0,0.7619582419275502,100.92504835128784,0
0,right,0.2,100,100,80,40,100,0,80,0,0.9878424681028846,96.6739661693573,0
90,left,0.4,20,20,100,60,80,20,40,0,1.3736709750501717,74.84399557113647,0
0,right,0.8,60,60,40,60,60,0,100,0,1.3689068671950222,161.11588859558103,0
-90,left,0.6,20,20,20,0,100,20,100,0,1.3701611068670032,81.68508529663086,0
-30,right,0.1,0,40,80,40,60,60,60,0,0.9067062738884564,114.8642315864563,0
0,right,0.2,100,40,0,80,80,20,60,0,0.9116673009431716,143.3288803100586,0
-30,left,0.6,40,0,80,20,0,60,40,0,1.4119760416191076,80.32394456863403,0
90,right,0.6,80,20,0,20,20,100,80,0,0.8117404979938959,150.5352544784546,0
90,left,1.0,100,100,100,80,20,20,0,0,0.926832947060728,93.3319320678711,0
60,right,0.4,0,100,0,80,60,0,20,0,1.586820377958382,164.35046339035034,0
30,right,0.8,100,100,60,0,100,20,40,0,0.9454576585304152,87.05548167228699,0
-90,right,0.8,100,60,40,80,20,80,20,0,0.8775876937718152,109.6943142414093,0
-60,left,0.6,0,40,100,40,20,60,20,0,1.5056581315740771,80.86269879341125,0
-90,left,0.4,100,0,40,0,0,0,60,0,1.3951216176969516,79.83502149581909,0
-30,left,0.8,40,20,20,100,100,80,0,0,0.8671744707763563,95.84480309486388,0
-60,left,1.0,100,0,60,20,80,80,100,0,1.3324759046114818,80.9546000957489,0
-60,right,0.6,80,100,80,80,60,80,0,0,1.0702679697423638,104.0122935771942,0
30,right,0.2,20,80,100,100,40,100,40,0,0.8376309221024008,97.80788254737854,0
-60,right,0.1,0,100,0,100,60,20,80,0,1.082836538498268,170.30039978027344,0
90,left,0.6,100,100,80,60,40,100,100,0,1.2852073992069746,75.56802105903625,0
-90,right,0.2,40,40,60,60,0,80,40,0,1.7416578815817796,160.23288321495056,0
-30,right,1.0,80,60,40,80,80,40,80,0,0.7379545938795804,160.69880533218384,0
90,right,0.2,40,80,40,20,80,0,0,0,0.8989258220295029,107.41213274002077,0
-90,left,0.8,60,80,60,20,60,60,80,0,1.4485692140569115,80.71445345878601,0
-30,right,0.8,0,40,40,0,40,40,40,0,0.7392847374772306,105.21194005012512,0
30,right,0.8,60,20,100,20,20,80,40,0,0.8268086733694157,104.87182331085204,0
30,right,0.1,60,0,60,60,0,100,60,0,1.1349101216489468,157.21386170387268,0
0,right,0.1,40,100,0,60,20,40,0,0,0.7996696937456944,88.8532485961914,0
30,right,0.4,80,80,20,20,100,100,100,0,0.7533869498397728,150.11096906661987,0
-60,left,0.8,40,100,60,80,80,60,60,0,1.4905379146925704,81.06640243530273,0
-60,left,0.4,60,60,80,20,0,20,60,0,1.4060071082849213,81.30036783218384,0
60,left,0.2,100,20,40,60,100,80,60,0,1.7215877356497171,74.5670268535614,0
90,left,0.4,0,0,60,60,100,0,80,0,1.3507406913626838,75.09896111488342,0
-30,left,0.1,0,100,60,80,40,100,20,0,1.6488182491236476,80.46143817901611,0
0,left,1.0,0,80,20,0,60,100,100,0,1.345133578092,81.31011390686035,0
-60,right,1.0,60,40,0,40,0,40,0,0,0.8060748772474284,102.87750363349916,0
0,left,0.1,40,20,100,100,0,0,60,0,1.3387299489012832,81.47791695594788,0
30,right,0.1,40,60,80,80,100,20,60,0,1.1361492987247808,98.00947499275208,0
0,left,0.4,60,0,40,20,100,60,60,0,1.4689309660763037,78.9678726196289,0
90,right,0.8,100,80,0,100,0,60,20,0,1.1077544257307177,161.12066459655762,0
-90,left,0.2,100,80,100,0,20,100,80,0,1.4024006221006282,81.52282547950745,0
-30,left,0.4,80,20,80,100,20,40,20,0,1.3366362832472487,80.27609539031982,0
90,left,0.4,20,100,60,40,0,60,100,0,1.4181576970481216,76.39276432991028,0
30,right,0.4,0,60,20,60,20,20,0,0,1.721493597277993,159.87620520591736,0
60,left,0.4,0,40,40,100,0,100,100,0,1.38323983341791,76.28213691711426,0
90,left,0.1,100,20,40,40,0,100,40,0,1.3084080971272951,74.78367781639099,0
-30,left,0.1,20,80,60,20,20,0,20,0,1.1262266545639883,104.62138390541077,0
60,left,0.6,80,60,40,80,100,20,40,0,1.338810440215861,76.91261625289917,0
