feature_Direction,feature_Cloudiness,feature_Precipitation,feature_PrecipitationDeposits,feature_WindIntensity,feature_TimeOfDay,feature_FogDensity,feature_FogDistance,feature_Wetness,feature_RoadFriction,Collision,MinTTC,algo_safety
right,100,20,60,80,-60,80,0,40,1.0,False,0.944,0
left,80,20,40,80,-90,40,100,100,0.2,False,1.041,0
right,100,100,0,100,0,40,100,80,0.1,False,0.937,0
right,80,100,100,100,-30,40,60,0,0.4,False,0.938,0
right,20,100,20,60,30,40,0,40,1.0,False,0.796,0
left,60,80,40,20,-90,0,80,60,0.8,False,1.05,0
right,60,0,60,60,90,40,80,60,1.0,False,0.817,0
left,60,60,20,100,60,100,0,100,0.6,False,1.184,0
right,0,0,80,20,60,20,0,100,0.6,False,0.797,0
left,0,20,100,0,60,100,20,40,0.8,False,1.192,0
right,80,40,20,20,-30,100,60,100,0.4,False,0.876,0
left,100,100,40,0,-60,40,80,0,1.0,False,1.092,0
left,100,40,60,40,-60,40,0,40,0.4,False,1.048,0
right,40,20,0,60,60,60,80,100,0.2,False,0.773,0
left,40,20,40,0,0,40,60,20,0.4,False,1.155,0
right,60,100,60,60,-60,60,20,0,0.1,False,0.855,0
left,0,40,0,80,90,60,100,60,0.8,False,1.074,0
right,20,60,40,60,90,100,100,40,0.1,False,0.78,0
left,0,60,100,80,-30,60,20,60,1.0,False,1.098,0
left,60,80,80,0,-90,40,40,80,0.6,False,1.061,0
left,0,0,60,0,90,80,40,80,0.4,False,1.077,0
right,60,20,0,100,-60,80,20,80,0.2,False,0.924,0
right,80,80,100,60,-90,20,60,20,0.8,False,0.861,0
left,0,40,20,100,30,20,80,100,0.1,False,1.09,0
right,40,80,20,20,-90,80,20,40,0.8,False,0.922,0
right,40,100,80,0,60,0,80,20,0.1,False,0.751,0
left,20,60,80,100,0,0,0,20,0.8,False,1.041,0
left,40,40,20,80,60,0,60,20,0.4,False,1.203,0
left,20,40,60,20,0,20,60,80,0.4,False,1.072,0
right,20,100,80,40,30,20,20,20,0.6,False,0.795,0
right,0,60,60,100,-90,20,0,100,0.6,False,0.816,0
left,40,80,20,100,90,60,0,40,0.6,False,1.117,0
right,100,60,80,80,-60,0,20,20,0.8,False,0.7,0
right,40,20,100,20,-90,80,80,40,0.2,False,0.92,0
left,20,0,60,0,90,20,80,80,1.0,False,1.129,0
right,100,40,40,60,60,0,0,20,1.0,False,1.033,0
left,0,100,0,40,-30,80,80,100,0.2,False,1.303,0
right,20,40,20,100,60,40,60,40,1.0,False,0.775,0
left,0,20,40,40,-30,80,20,40,1.0,False,1.124,0
right,60,20,0,40,90,40,40,80,0.4,False,0.793,0
left,40,0,100,40,30,20,0,60,0.2,False,1.204,0
left,60,0,80,80,60,100,80,100,1.0,False,1.21,0
left,100,60,0,80,-90,100,40,80,0.1,False,1.042,0
right,20,100,100,0,0,20,40,0,0.1,False,0.921,0
right,20,0,80,100,-30,0,80,0,1.0,False,1.051,0
right,60,40,40,80,-60,100,100,40,0.8,False,0.971,0
left,80,0,40,100,60,40,0,0,0.8,False,1.192,0
right,0,80,40,0,90,80,80,20,0.2,False,0.74,0
left,100,60,20,60,0,60,0,80,0.1,False,1.166,0
left,80,100,0,100,30,80,40,0,0.8,False,1.122,0
right,40,40,0,20,30,60,20,60,0.2,False,0.817,0
right,100,20,80,100,30,0,40,40,0.1,False,0.827,0
right,80,80,40,20,90,60,0,60,0.6,False,0.941,0
right,100,0,80,20,-90,80,60,100,0.4,False,0.763,0
left,40,40,60,80,-60,20,80,80,1.0,False,1.295,0
left,80,0,100,40,0,80,40,100,0.8,False,1.105,0
right,80,40,100,60,0,60,20,100,0.4,False,0.838,0
right,80,0,80,20,-90,0,100,40,0.4,False,0.88,0
left,40,100,20,80,60,40,60,100,1.0,False,1.19,0
left,100,100,0,60,-60,0,0,80,0.1,False,3.045,0
left,20,100,20,80,-60,80,0,20,0.2,False,1.106,0
left,0,60,20,0,-30,40,40,100,0.8,False,1.108,0
right,60,20,80,60,-90,20,80,60,0.1,False,0.803,0
right,0,60,20,80,90,40,80,0,0.6,False,0.866,0
left,20,20,20,40,-90,60,60,60,0.1,False,1.026,0
left,0,20,100,60,0,20,0,20,0.8,False,1.084,0
right,60,20,0,0,-60,100,100,60,0.6,False,0.83,0
left,100,40,20,100,-60,0,40,0,0.1,False,1.101,0
right,60,0,80,40,-30,60,40,20,0.8,False,0.922,0
right,80,100,40,100,30,40,80,0,0.1,False,0.749,0
left,80,60,60,0,30,60,60,80,0.8,False,1.097,0
left,100,60,0,80,-90,0,20,60,0.2,False,1.033,0
right,0,40,20,100,-90,60,0,40,0.4,False,0.897,0
right,20,80,100,0,90,80,60,40,0.6,False,0.833,0
right,60,40,40,20,-90,20,100,0,0.1,False,0.906,0
left,0,100,100,20,30,0,100,20,0.6,False,1.171,0
left,100,40,60,100,-30,60,20,0,1.0,False,1.102,0
right,80,100,60,0,60,100,60,100,0.2,False,0.843,0
left,20,0,0,0,-90,40,80,20,1.0,False,1.15,0
left,100,60,20,100,60,0,0,20,0.8,False,1.188,0
right,60,60,40,40,0,0,20,80,0.1,False,0.968,0
right,40,0,80,40,-30,20,20,60,1.0,False,0.886,0
right,60,0,100,40,0,100,20,60,0.2,False,0.841,0
right,40,100,40,60,-30,100,80,80,0.8,False,0.93,0
left,20,60,100,80,60,100,100,40,0.4,False,1.11,0
left,80,40,60,80,90,100,80,80,0.2,False,1.236,0
right,20,20,0,0,60,40,20,0,0.6,False,0.886,0
left,60,40,0,100,0,100,100,80,0.8,False,1.137,0
left,80,60,0,60,60,20,60,20,0.6,False,1.212,0
left,0,100,80,20,90,20,40,100,0.6,False,1.192,0
right,40,20,60,60,-60,60,0,0,0.8,False,0.901,0
left,20,80,80,80,-90,20,60,20,0.4,False,1.094,0
right,20,20,60,60,-30,80,20,40,0.1,False,0.795,0
left,60,40,80,40,30,100,60,60,0.6,False,1.211,0
right,80,100,40,100,90,60,20,0,0.4,False,0.771,0
right,80,0,80,60,30,100,0,40,0.2,False,0.717,0
right,40,20,0,0,60,0,80,100,0.1,False,0.836,0
left,40,60,40,100,-90,100,60,100,0.1,False,1.056,0
right,60,20,60,40,-30,40,60,60,0.6,False,0.944,0
left,100,40,20,40,-90,20,100,60,0.8,False,3.121,0
left,40,40,0,80,-30,60,40,80,0.6,False,1.121,0
left,60,0,20,40,-60,0,0,40,0.6,False,1.004,0
right,80,80,60,80,0,80,0,0,1.0,False,0.976,0
right,0,80,80,100,-30,20,40,60,1.0,False,0.841,0
left,20,60,100,0,-90,100,20,40,0.8,False,1.029,0
right,0,20,0,80,-90,60,20,0,0.4,False,0.804,0
right,100,0,60,60,-30,0,80,20,0.6,False,0.948,0
left,20,100,80,40,-30,0,20,100,0.1,False,0.705,0
