Row,startego,goalego,startother,goalother,cloudiness,precipitation,precipitationdeposits,windintensity,fogdensity,fogdistance,wetness,roadfriction
scenario394,1,2,0,1,100,40,100,100,0,80,100,0.2
scenario395,1,2,0,2,80,0,0,80,100,40,20,0.1
scenario396,1,2,0,2,100,0,80,100,60,20,0,0.4
scenario397,1,2,0,2,80,40,0,100,80,20,100,0.1
scenario398,1,2,0,2,100,80,100,100,100,60,20,0.4
scenario399,1,2,0,2,100,80,100,80,40,100,80,0.2
scenario400,1,2,0,1,100,40,60,100,0,60,0,0.4
scenario401,1,2,0,1,100,100,0,80,20,0,40,0.6
scenario402,1,2,0,2,100,80,100,100,100,60,20,0.4
scenario403,1,2,0,2,100,60,80,100,100,20,40,0.4
scenario404,0,2,1,2,100,80,100,100,40,60,20,0.2
scenario405,1,2,0,2,80,80,100,100,100,60,40,0.2
scenario406,1,2,2,0,100,60,100,100,100,80,0,0.4
scenario407,2,0,1,0,100,100,100,100,60,60,0,0.2
scenario408,2,1,0,1,100,80,20,100,100,80,40,0.2
scenario409,1,2,0,2,80,80,80,100,100,60,20,0.6
scenario410,1,2,0,2,100,80,100,80,100,20,60,0.2
scenario411,1,2,0,2,80,80,100,100,40,60,20,0.6
scenario412,1,2,0,1,20,60,100,100,100,80,40,0.4
scenario413,1,2,2,0,100,80,100,80,100,60,40,0.4
scenario414,1,2,2,0,100,60,100,100,100,80,0,0.4
scenario415,1,2,0,1,100,20,80,20,100,60,40,0.8
scenario416,0,1,1,2,80,80,100,80,80,60,60,0.4
scenario417,1,2,0,1,100,80,80,80,100,40,60,0.2
scenario418,2,0,1,0,100,60,100,100,60,80,20,0.1
scenario419,1,2,0,2,80,80,80,80,100,40,20,0.4
scenario420,2,0,1,2,100,60,80,20,100,60,0,0.4
scenario421,2,0,0,1,20,60,60,100,100,80,20,0.4
scenario422,1,2,2,0,100,80,80,80,60,40,60,1
scenario423,0,1,2,0,40,80,100,100,80,100,20,0.2
scenario424,0,1,2,0,80,80,0,100,80,80,0,0.8
scenario425,1,2,0,1,20,60,40,80,80,80,60,0.2
scenario426,1,2,2,0,100,60,100,100,100,80,0,0.4
scenario427,1,2,2,0,100,60,60,60,80,40,60,0.8
scenario428,2,0,0,1,40,60,80,100,100,80,0,0.4
scenario429,2,1,0,1,100,80,100,100,80,80,0,0.1
scenario430,1,0,2,0,40,100,100,100,100,40,40,0.1
scenario431,2,0,1,0,100,60,100,100,80,100,40,0.2
scenario432,1,2,0,1,100,20,60,0,100,60,40,0.8
scenario433,1,2,0,1,100,0,100,20,100,60,40,1
scenario434,0,1,1,2,100,80,100,60,0,80,80,0.2
scenario435,1,2,2,0,100,60,100,100,40,60,20,0.4
scenario436,1,2,2,0,0,80,60,80,80,80,60,0.6
scenario437,1,2,0,1,100,40,80,20,100,60,20,0.8
scenario438,1,2,2,0,100,60,100,100,100,80,0,0.4
scenario439,2,0,0,1,0,60,100,40,80,100,0,0.1
scenario440,0,1,1,2,80,20,60,0,100,40,40,0.8
scenario441,1,2,0,2,40,80,60,80,100,80,100,0.4
scenario442,1,2,0,1,100,60,100,0,100,100,20,0.1
scenario443,1,2,0,1,0,20,40,40,20,60,40,0.6
scenario444,0,1,1,2,40,100,80,100,100,40,40,0.2
scenario445,2,1,0,1,100,100,80,100,100,60,20,0.8
