Instances,PathInteraction,feature_StartEgo,feature_GoalEgo,feature_StartOther,feature_GoalOther,feature_RoadFriction,feature_FogDensity,feature_Precipitation,feature_PrecipitationDeposits,feature_Cloudiness,feature_WindIntensity,feature_Wetness,feature_FogDistance,collision,min_ttc,algo_safety
scenario247,c4,right,base,left,base,1.0,20,80,80,60,20,60,80,0,11.433753810159583,0
scenario248,c4,left,right,right,base,0.4,60,40,0,20,0,100,20,0,3.0045600580395977,0
scenario249,c1,left,right,base,right,0.2,100,40,0,80,20,0,0,0,4.634635449537597,0
scenario250,c4,right,base,left,base,0.8,80,20,20,100,0,40,40,0,3.906804310383236,0
scenario251,c1,left,right,base,right,0.2,100,80,60,20,40,20,0,0,3.874485304098551,0
scenario252,c1,left,right,base,right,0.6,40,40,100,0,20,80,80,0,6.4878232084327285,0
scenario253,c1,left,right,base,right,0.1,100,20,100,60,20,60,40,0,5.981198712824141,0
scenario254,c2,right,base,base,left,0.8,20,100,80,60,0,100,0,0,2.050473001925727,0
scenario255,c2,right,left,base,left,0.4,40,40,40,60,60,20,0,0,2.291701008922532,0
scenario256,c2,base,left,right,left,1.0,0,80,0,40,80,20,40,0,3.762867441524103,0
scenario257,c2,base,left,right,base,0.8,20,40,100,100,100,60,60,0,2.132827557780417,0
scenario258,c1,base,left,left,right,0.8,60,20,20,40,60,100,80,0,2.8590895190599586,0
scenario259,c2,right,left,base,left,0.4,100,80,40,80,0,40,40,0,2.4546434130993497,0
scenario260,c1,left,right,base,left,0.6,60,60,20,80,60,60,20,0,5.822207556557055,0
scenario261,c1,base,right,left,right,0.2,20,0,0,100,80,60,20,0,2.59994676073787,0
scenario262,c4,right,base,left,base,1.0,100,0,20,20,40,60,60,0,2.96744138045763,0
scenario263,c4,right,base,left,base,0.2,100,80,60,20,20,40,60,0,2.6838661310946565,0
scenario264,c2,base,left,right,left,0.1,40,60,0,100,40,0,20,0,2.931305099545048,0
scenario265,c1,left,right,base,right,0.2,40,60,20,100,60,40,40,0,4.097577416589012,0
scenario266,c4,right,base,left,base,0.1,100,100,80,80,40,40,80,0,2.7124888831023872,0
scenario267,c2,base,left,right,left,0.1,40,0,60,40,20,80,80,0,3.708359390340272,0
scenario268,c1,left,right,base,right,0.8,100,80,100,0,100,60,100,0,6.459052089051976,0
scenario269,c4,right,base,left,base,1.0,80,100,0,0,60,60,100,0,23.13388973967865,0
scenario270,c4,right,base,left,base,0.8,80,40,80,20,40,40,80,0,15.072437502204943,0
scenario271,c4,right,base,left,right,0.2,20,80,40,40,60,60,100,0,1.076450958628368,0
scenario272,c2,base,left,right,base,0.4,0,60,20,60,80,100,40,0,2.162866403491897,0
scenario273,c1,left,right,base,left,1.0,20,40,0,0,100,40,80,0,6.01606430117459,0
scenario274,c2,base,left,right,left,0.8,0,20,100,40,100,80,40,0,3.916320490176532,0
