Row,startego,goalego,startother,goalother,cloudiness,precipitation,precipitationdeposits,windintensity,fogdensity,fogdistance,wetness,roadfriction
scenario342,0,2,1,2,0,100,40,0,40,60,0,0.4
scenario343,2,0,0,1,20,80,20,0,20,60,40,0.6
scenario344,0,1,1,2,0,0,60,40,60,60,40,0.2
scenario345,0,1,2,1,0,100,60,20,20,100,40,0.2
scenario346,1,2,2,0,0,100,80,0,20,40,20,0.6
scenario347,1,0,2,0,20,20,100,40,40,80,60,0.2
scenario348,0,1,2,1,0,0,60,80,20,60,80,1
scenario349,2,0,1,2,40,100,40,20,40,60,60,0.8
scenario350,0,1,1,2,40,100,60,100,40,60,60,0.6
scenario351,1,0,2,0,60,20,80,0,40,100,40,0.8
scenario352,2,0,1,0,40,100,40,20,40,60,60,0.8
scenario353,2,0,0,1,20,0,60,100,20,20,20,0.2
scenario354,0,1,2,0,0,0,0,100,60,20,20,0.4
scenario355,2,0,0,1,0,0,80,60,40,0,0,0.6
scenario356,1,0,2,0,60,60,80,20,20,100,40,0.2
scenario357,2,0,1,2,80,80,40,20,20,60,0,0.1
scenario358,2,0,1,2,40,100,20,0,40,60,40,0.8
scenario359,2,0,1,2,40,100,40,20,40,60,60,1
scenario360,2,0,0,1,80,60,80,0,20,100,40,0.6
scenario361,2,0,1,2,40,100,20,0,40,60,40,0.8
scenario362,2,0,1,2,20,80,60,20,60,40,40,0.6
scenario363,2,0,1,0,40,100,20,0,60,60,40,0.8
scenario364,2,0,1,2,40,80,20,100,40,80,40,0.8
scenario365,1,0,2,0,40,60,20,20,20,60,20,0.8
scenario366,2,0,1,2,40,80,20,0,40,40,80,0.6
scenario367,2,0,1,2,40,100,40,0,60,80,40,1
scenario368,1,0,2,0,40,100,0,0,60,40,40,1
scenario369,1,0,2,0,60,40,20,0,20,60,20,0.8
scenario370,1,2,2,0,100,100,40,0,40,40,60,1
scenario371,2,0,1,2,0,100,0,40,20,80,40,0.8
scenario372,2,0,1,0,20,100,20,0,60,40,60,1
scenario373,2,0,1,2,40,100,40,0,60,80,40,1
scenario374,0,1,1,2,40,100,80,0,60,20,40,0.6
scenario375,1,0,2,0,100,100,60,20,60,40,80,1
scenario376,1,2,2,0,20,100,0,20,80,20,40,0.2
scenario377,0,1,1,2,80,100,20,40,0,80,20,0.8
scenario378,2,0,1,2,20,80,20,0,60,80,40,1
scenario379,1,2,2,0,40,100,40,0,100,60,40,1
scenario380,1,2,2,0,40,100,0,0,60,60,0,1
scenario381,0,1,2,1,100,60,0,20,20,80,40,1
scenario382,2,0,1,2,100,40,40,20,60,40,60,0.8
scenario383,1,2,2,0,60,80,60,0,20,60,80,0.8
scenario384,2,0,1,0,40,100,40,0,80,60,20,0.6
scenario385,2,0,1,2,40,100,40,0,60,80,40,1
scenario386,0,1,2,1,80,0,20,40,20,80,20,1
scenario387,2,0,1,2,80,40,40,40,40,40,80,1
scenario388,1,2,2,0,60,80,40,0,60,80,60,1
scenario389,1,2,2,0,20,0,20,0,80,100,40,0.8
scenario390,0,1,1,2,100,20,0,20,60,60,20,0.6
scenario391,1,2,2,0,0,100,0,20,60,20,40,0.2
scenario392,1,2,2,0,40,60,80,0,20,80,60,0.8
scenario393,2,1,0,1,0,80,0,20,100,20,20,0.1
scenario394,0,1,2,1,40,100,40,40,60,80,20,1
scenario395,2,0,1,2,60,100,60,20,80,60,80,0.8
scenario396,2,0,1,0,40,100,0,20,80,40,40,1
scenario397,2,0,1,2,80,40,40,40,40,40,80,1
scenario398,0,1,2,1,80,0,40,40,20,80,20,1
scenario399,1,2,0,1,0,80,0,20,100,40,40,0.1
scenario400,0,1,2,1,80,0,40,60,0,80,0,1
scenario401,2,0,1,2,80,40,40,40,40,20,80,1
scenario402,1,0,2,0,80,80,100,40,80,60,80,0.8
scenario403,0,1,2,1,60,100,80,40,60,60,60,0.8
scenario404,0,1,1,2,60,20,0,20,60,40,0,0.4
scenario405,2,0,1,2,60,80,40,20,0,60,100,0.8
scenario406,0,1,2,1,0,80,20,40,100,0,20,1
scenario407,2,1,0,1,40,20,20,0,80,80,60,0.8
scenario408,2,0,1,2,60,100,40,20,60,60,0,1
scenario409,2,0,1,2,80,40,40,40,40,40,80,1
scenario410,2,0,1,2,80,20,40,40,40,20,0,1
scenario411,0,1,2,1,100,80,60,40,20,0,0,0.1
scenario412,1,0,2,0,100,20,20,60,0,80,0,1
scenario413,0,1,2,1,0,60,0,20,100,40,40,0.2
scenario414,1,0,2,0,80,80,80,40,80,40,80,0.8
scenario415,1,2,0,1,80,20,20,40,0,20,0,0.4
